username,submitted_at,processed_at,type,score,dcr_share,nndr_ratio,qa_report,is_qualified
Tecnarca,2025-07-03 21:55:03.849+00,2025-07-03 21:57:17.164692+00,sequential,0.969208,0.513,1.10127,"{""accuracy"": {""overall"": 0.9692076, ""bivariate"": 0.9734882, ""coherence"": 0.9805333, ""trivariate"": 0.931667, ""univariate"": 0.9911418, ""overall_max"": 0.9721543, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883247, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.513, ""dcr_holdout"": 0.099, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.003, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.098, ""ims_training"": 0.003, ""nndr_holdout"": 0.000000097703, ""nndr_trn_hol"": 0.000000086807, ""nndr_training"": 0.000000107597}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999834, ""discriminator_auc_training_holdout"": 0.503, ""cosine_similarity_training_synthetic"": 0.9999775, ""discriminator_auc_training_synthetic"": 0.507}}",t
muellermarkus,2025-07-03 21:39:44.237+00,2025-07-03 21:52:27.108375+00,flat,0.986159,0.519,1.03978,"{""accuracy"": {""overall"": 0.9861589, ""bivariate"": 0.9879408, ""coherence"": null, ""trivariate"": 0.9754639, ""univariate"": 0.9950721, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.519, ""dcr_holdout"": 0.097, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.096, ""ims_training"": 0.0, ""nndr_holdout"": 0.121675086899, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.126515750846}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.506, ""cosine_similarity_training_synthetic"": 0.9999775, ""discriminator_auc_training_synthetic"": 0.536}}",t
muellermarkus,2025-07-03 21:35:25.183+00,2025-07-03 21:43:49.948011+00,flat,0.986181,0.517,0.773374,"{""accuracy"": {""overall"": 0.9861806, ""bivariate"": 0.9879537, ""coherence"": null, ""trivariate"": 0.9754982, ""univariate"": 0.99509, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.517, ""dcr_holdout"": 0.097, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.095, ""ims_training"": 0.0, ""nndr_holdout"": 0.142033181723, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.109844738383}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.505, ""cosine_similarity_training_synthetic"": 0.9999832, ""discriminator_auc_training_synthetic"": 0.547}}",t
Sabya2,2025-07-03 20:53:21.311+00,2025-07-03 20:54:24.210183+00,flat,0.0,,,{},f
Tecnarca,2025-07-03 20:45:35.248+00,2025-07-03 20:54:01.290861+00,flat,0.986325,0.507,1.13731,"{""accuracy"": {""overall"": 0.9863253, ""bivariate"": 0.9880379, ""coherence"": null, ""trivariate"": 0.9762669, ""univariate"": 0.994671, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.507, ""dcr_holdout"": 0.096, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.096, ""ims_training"": 0.0, ""nndr_holdout"": 0.092233503066, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.104898058797}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.495, ""cosine_similarity_training_synthetic"": 0.9999631, ""discriminator_auc_training_synthetic"": 0.517}}",t
Ashish-Soni08,2025-07-03 20:18:50.03+00,2025-07-03 20:20:46.535387+00,sequential,0.961381,0.504,0.866835,"{""accuracy"": {""overall"": 0.9613806, ""bivariate"": 0.965588, ""coherence"": 0.9718953, ""trivariate"": 0.9232001, ""univariate"": 0.9848391, ""overall_max"": 0.9721562, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883323, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.504, ""dcr_holdout"": 0.101, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.002, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.101, ""ims_training"": 0.002, ""nndr_holdout"": 0.000000106695, ""nndr_trn_hol"": 0.000000088809, ""nndr_training"": 0.000000092487}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999834, ""discriminator_auc_training_holdout"": 0.497, ""cosine_similarity_training_synthetic"": 0.9997485, ""discriminator_auc_training_synthetic"": 0.522}}",t
Ashish-Soni08,2025-07-03 20:09:29.102+00,2025-07-03 20:09:39.06024+00,sequential,0.0,,,{},f
filomba01,2025-07-03 20:06:59.708+00,2025-07-03 20:08:56.166429+00,sequential,0.969188,0.512,0.980269,"{""accuracy"": {""overall"": 0.9691879, ""bivariate"": 0.9721722, ""coherence"": 0.9837513, ""trivariate"": 0.931071, ""univariate"": 0.9897573, ""overall_max"": 0.9721531, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883197, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.512, ""dcr_holdout"": 0.098, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.003, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.097, ""ims_training"": 0.003, ""nndr_holdout"": 0.00000010243, ""nndr_trn_hol"": 0.00000008839, ""nndr_training"": 0.000000100409}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999832, ""discriminator_auc_training_holdout"": 0.497, ""cosine_similarity_training_synthetic"": 0.999943, ""discriminator_auc_training_synthetic"": 0.512}}",t
Gandagorn,2025-07-03 17:12:51.498+00,2025-07-03 17:17:43.812488+00,sequential,0.971722,0.511,1.1502,"{""accuracy"": {""overall"": 0.9717223, ""bivariate"": 0.9755524, ""coherence"": 0.984177, ""trivariate"": 0.9353289, ""univariate"": 0.9918309, ""overall_max"": 0.9721545, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883253, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.511, ""dcr_holdout"": 0.099, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.003, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.098, ""ims_training"": 0.003, ""nndr_holdout"": 0.000000091828, ""nndr_trn_hol"": 0.000000088203, ""nndr_training"": 0.000000105621}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999832, ""discriminator_auc_training_holdout"": 0.503, ""cosine_similarity_training_synthetic"": 0.9999923, ""discriminator_auc_training_synthetic"": 0.496}}",t
HithertoAI,2025-07-03 17:10:49.674+00,2025-07-03 17:15:25.551542+00,sequential,0.097039,1.0,0.994526,"{""accuracy"": {""overall"": 0.097039, ""bivariate"": 0.0217489, ""coherence"": 0.181191, ""trivariate"": 0.0010979, ""univariate"": 0.1841182, ""overall_max"": 0.9719366, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9874537, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 1.0, ""dcr_holdout"": 0.334, ""dcr_trn_hol"": 0.012, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.327, ""ims_training"": 0.0, ""nndr_holdout"": 0.997772566447, ""nndr_trn_hol"": 0.000000480652, ""nndr_training"": 0.992310905426}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999834, ""discriminator_auc_training_holdout"": 0.5, ""cosine_similarity_training_synthetic"": 0.0, ""discriminator_auc_training_synthetic"": 1.0}}",f
HithertoAI,2025-07-03 15:33:34.785+00,2025-07-03 15:48:51.632734+00,flat,0.0241597,1.0,0.98857,"{""accuracy"": {""overall"": 0.0241597, ""bivariate"": 0.0042439, ""coherence"": null, ""trivariate"": 0.0003393, ""univariate"": 0.0678958, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 1.0, ""dcr_holdout"": 0.573, ""dcr_trn_hol"": 0.227, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.568, ""ims_training"": 0.0, ""nndr_holdout"": 0.998635568782, ""nndr_trn_hol"": 0.367410438828, ""nndr_training"": 0.98722146975}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.501, ""cosine_similarity_training_synthetic"": 0.0, ""discriminator_auc_training_synthetic"": 1.0}}",f
Gandagorn,2025-07-03 15:31:48.584+00,2025-07-03 15:40:20.049209+00,flat,0.991336,0.509,0.988253,"{""accuracy"": {""overall"": 0.9913364, ""bivariate"": 0.9934817, ""coherence"": null, ""trivariate"": 0.9827764, ""univariate"": 0.997751, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.509, ""dcr_holdout"": 0.095, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.095, ""ims_training"": 0.0, ""nndr_holdout"": 0.119623547193, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.118218316586}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.504, ""cosine_similarity_training_synthetic"": 0.9999949, ""discriminator_auc_training_synthetic"": 0.507}}",t
muellermarkus,2025-07-03 13:50:09.679+00,2025-07-03 13:58:43.790417+00,flat,0.985665,0.513,0.934833,"{""accuracy"": {""overall"": 0.9856653, ""bivariate"": 0.9874333, ""coherence"": null, ""trivariate"": 0.9749728, ""univariate"": 0.9945899, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.513, ""dcr_holdout"": 0.097, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.096, ""ims_training"": 0.0, ""nndr_holdout"": 0.128318506576, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.1199563305}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.504, ""cosine_similarity_training_synthetic"": 0.9999773, ""discriminator_auc_training_synthetic"": 0.536}}",t
EugenioTL,2025-07-03 13:14:27.206+00,2025-07-03 13:22:41.079279+00,flat,0.985182,0.508,0.932755,"{""accuracy"": {""overall"": 0.9851819, ""bivariate"": 0.9869306, ""coherence"": null, ""trivariate"": 0.9746339, ""univariate"": 0.9939813, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.508, ""dcr_holdout"": 0.097, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.096, ""ims_training"": 0.0, ""nndr_holdout"": 0.107915763308, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.100658916109}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.503, ""cosine_similarity_training_synthetic"": 0.9999419, ""discriminator_auc_training_synthetic"": 0.539}}",t
filomba01,2025-07-03 12:43:43.966+00,2025-07-03 12:45:40.433782+00,sequential,0.969036,0.512,0.954491,"{""accuracy"": {""overall"": 0.9690355, ""bivariate"": 0.9722427, ""coherence"": 0.9835807, ""trivariate"": 0.931133, ""univariate"": 0.9891855, ""overall_max"": 0.9721535, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883213, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.512, ""dcr_holdout"": 0.098, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.003, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.097, ""ims_training"": 0.003, ""nndr_holdout"": 0.000000094772, ""nndr_trn_hol"": 0.00000008839, ""nndr_training"": 0.000000090459}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999832, ""discriminator_auc_training_holdout"": 0.497, ""cosine_similarity_training_synthetic"": 0.9999649, ""discriminator_auc_training_synthetic"": 0.506}}",t
bbonnet14,2025-07-03 11:03:31.019+00,2025-07-03 11:12:03.798254+00,flat,0.978408,0.523,0.979298,"{""accuracy"": {""overall"": 0.9784079, ""bivariate"": 0.9800816, ""coherence"": null, ""trivariate"": 0.9641582, ""univariate"": 0.9909839, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.523, ""dcr_holdout"": 0.101, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.1, ""ims_training"": 0.0, ""nndr_holdout"": 0.083145264413, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.081423992814}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.505, ""cosine_similarity_training_synthetic"": 0.9997624, ""discriminator_auc_training_synthetic"": 0.659}}",f
LP7986,2025-07-03 08:01:55.568+00,2025-07-03 08:10:28.118563+00,flat,0.700372,0.58,0.917702,"{""accuracy"": {""overall"": 0.7003721, ""bivariate"": 0.6930827, ""coherence"": null, ""trivariate"": 0.5774061, ""univariate"": 0.8306274, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.58, ""dcr_holdout"": 0.465, ""dcr_trn_hol"": 0.19, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.457, ""ims_training"": 0.0, ""nndr_holdout"": 0.668584864734, ""nndr_trn_hol"": 0.303802849221, ""nndr_training"": 0.613561931798}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.508, ""cosine_similarity_training_synthetic"": 0.3127039, ""discriminator_auc_training_synthetic"": 1.0}}",f
khyj0302,2025-07-03 06:30:38.303+00,2025-07-03 06:30:58.346389+00,flat,0.0,,,{},f
khyj0302,2025-07-03 05:19:42.731+00,2025-07-03 05:20:00.35134+00,flat,0.0,,,{},f
khyj0302,2025-07-03 04:15:17.526+00,2025-07-03 04:15:23.739732+00,flat,0.0,,,{},f
Gandagorn,2025-07-02 23:47:58.273+00,2025-07-02 23:56:27.616383+00,flat,0.991372,0.506,0.816071,"{""accuracy"": {""overall"": 0.9913721, ""bivariate"": 0.9935214, ""coherence"": null, ""trivariate"": 0.9827679, ""univariate"": 0.997827, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.506, ""dcr_holdout"": 0.095, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.095, ""ims_training"": 0.0, ""nndr_holdout"": 0.110046461471, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.089805700512}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.505, ""cosine_similarity_training_synthetic"": 0.9999935, ""discriminator_auc_training_synthetic"": 0.5}}",t
Gandagorn,2025-07-02 18:57:20.093+00,2025-07-02 18:59:28.315114+00,sequential,0.97166,0.51,0.964949,"{""accuracy"": {""overall"": 0.9716597, ""bivariate"": 0.9755618, ""coherence"": 0.9840653, ""trivariate"": 0.9345072, ""univariate"": 0.9925045, ""overall_max"": 0.9721548, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883267, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.51, ""dcr_holdout"": 0.099, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.003, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.098, ""ims_training"": 0.003, ""nndr_holdout"": 0.000000113919, ""nndr_trn_hol"": 0.000000087796, ""nndr_training"": 0.000000109926}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999832, ""discriminator_auc_training_holdout"": 0.511, ""cosine_similarity_training_synthetic"": 0.9999886, ""discriminator_auc_training_synthetic"": 0.503}}",t
Tecnarca,2025-07-02 17:34:18.036+00,2025-07-02 17:36:27.652814+00,sequential,0.969208,0.513,1.10127,"{""accuracy"": {""overall"": 0.9692076, ""bivariate"": 0.9734882, ""coherence"": 0.9805333, ""trivariate"": 0.931667, ""univariate"": 0.9911418, ""overall_max"": 0.9721543, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883247, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.513, ""dcr_holdout"": 0.099, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.003, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.098, ""ims_training"": 0.003, ""nndr_holdout"": 0.000000097703, ""nndr_trn_hol"": 0.000000086807, ""nndr_training"": 0.000000107597}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999834, ""discriminator_auc_training_holdout"": 0.503, ""cosine_similarity_training_synthetic"": 0.9999775, ""discriminator_auc_training_synthetic"": 0.507}}",t
Tecnarca,2025-07-02 15:39:11.196+00,2025-07-02 15:47:38.40544+00,flat,0.985528,0.509,0.842038,"{""accuracy"": {""overall"": 0.9855279, ""bivariate"": 0.9871707, ""coherence"": null, ""trivariate"": 0.9753224, ""univariate"": 0.9940908, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.509, ""dcr_holdout"": 0.097, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.097, ""ims_training"": 0.0, ""nndr_holdout"": 0.105180426371, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.088565928823}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.498, ""cosine_similarity_training_synthetic"": 0.9999542, ""discriminator_auc_training_synthetic"": 0.531}}",t
